OMC_FLYWHEEL_TABLE,OMC_FLYWHEEL_COLUMN,FUNCTION_DESCRIPTION,OPUS_COLUMN,ELEMENT_NUMBER
IBE_01,customer_user_id,Customer User ID,CUSTOMER_USER_ID,CUSTOMER_BASE_ID
IBE_01,ibe1802,Family Ties - Adult with Senior Parent - Person,IBE1802,1802
IBE_01,ibe1900,College Year Grade Level,IBE1900,1900
IBE_01,ibe1901,Potential College Student,IBE1901,1901
IBE_01,ibe1902,High School Graduation Year,IBE1902,1902
IBE_01,ibe1903,College Student Major,IBE1903,1903
IBE_01,ibe1904,Student Commuter Flag,IBE1904,1904
IBE_01,ibe1905,College Graduation Year - Undergraduate,IBE1905,1905
IBE_01,ibe1906,College Graduation Year - Graduate,IBE1906,1906
IBE_01,ibe1907,Recent Graduate,IBE1907,1907
IBE_01,ibe2005,Women's Plus Sizes,IBE2005,2005
IBE_01,ibe2022,Category - Apparel - Women's,IBE2022,2022
IBE_01,ibe2024,Super Category - Arts and Antiques,IBE2024,2024
IBE_01,ibe2025,"Super Category - Automotive, Auto Parts and Accessories",IBE2025,2025
IBE_01,ibe2026,Super Category - Books and Music,IBE2026,2026
IBE_01,ibe2029,Super Category - Food and Beverage,IBE2029,2029
IBE_01,ibe2030,Super Category - Health and Beauty,IBE2030,2030
IBE_01,ibe2031,Super Category - Home Furnishing,IBE2031,2031
IBE_01,ibe2033,Category - Music,IBE2033,2033
IBE_01,ibe2058_01,Credit Card Use - American Express - Premium,IBE2058_01,2058_01
IBE_01,ibe2058_02,Credit Card Use - American Express - Regular,IBE2058_02,2058_02
IBE_01,ibe2059_01,Credit Card Use - Discover - Premium,IBE2059_01,2059_01
IBE_01,ibe2059_02,Credit Card Use - Discover - Regular,IBE2059_02,2059_02
IBE_01,ibe2060_01,Credit Card Use - Gasoline or Retail Card - Premium,IBE2060_01,2060_01
IBE_01,ibe2060_02,Credit Card Use - Gasoline or Retail Card - Regular,IBE2060_02,2060_02
IBE_01,ibe2061_01,Credit Card Use - Mastercard - Premium,IBE2061_01,2061_01
IBE_01,ibe2061_02,Credit Card Use - Mastercard - Regular,IBE2061_02,2061_02
IBE_01,ibe2062_01,Credit Card Use - Visa - Premium,IBE2062_01,2062_01
IBE_01,ibe2062_02,Credit Card Use - Visa - Regular,IBE2062_02,2062_02
IBE_01,ibe2076_01,Causes Supported Financially - Charitable,IBE2076_01,2076_01
IBE_01,ibe2076_02,Causes Supported Financially - Animal Welfare,IBE2076_02,2076_02
IBE_01,ibe2076_03,Causes Supported Financially - Arts or Cultural,IBE2076_03,2076_03
IBE_01,ibe2076_04,Causes Supported Financially - Childrens,IBE2076_04,2076_04
IBE_01,ibe2076_05,Causes Supported Financially - Environment or Wildlife,IBE2076_05,2076_05
IBE_01,ibe2076_06,Causes Supported Financially - Health,IBE2076_06,2076_06
IBE_01,ibe2076_07,Causes Supported Financially - International Aid,IBE2076_07,2076_07
IBE_01,ibe2076_08,Causes Supported Financially - Political,IBE2076_08,2076_08
IBE_01,ibe2076_09,Causes Supported Financially - Politically Conservative,IBE2076_09,2076_09
IBE_01,ibe2076_10,Causes Supported Financially - Politically Liberal,IBE2076_10,2076_10
IBE_01,ibe2076_11,Causes Supported Financially - Religious,IBE2076_11,2076_11
IBE_01,ibe2076_12,Causes Supported Financially - Veterans,IBE2076_12,2076_12
IBE_01,ibe2076_13,Causes Supported Financially - Other,IBE2076_13,2076_13
IBE_01,ibe2077,Auto Enthusiast,IBE2077,2077
IBE_01,ibe2100,Ethnic Group,IBE2100,2100
IBE_01,ibe2205,Health - Homeopathic Interest in Household,IBE2205,2205
IBE_01,ibe2350,Business Owner,IBE2350,2350
IBE_01,ibe2351,Single Parent,IBE2351,2351
IBE_01,ibe2354,Life Insurance Policy Owner,IBE2354,2354
IBE_01,ibe2356,Veteran,IBE2356,2356
IBE_01,ibe2360,Occupation - Detail - Person,IBE2360,2360
IBE_01,ibe2403_01,Geo Federal Congressional District Code,IBE2403_01,2403_01
IBE_01,ibe2404_01,Geo State Upper House District Code,IBE2404_01,2404_01
IBE_01,ibe2405_01,Geo State Lower House District Code,IBE2405_01,2405_01
IBE_01,ibe2507_01,Business Travel - Domestic - Have Taken,IBE2507_01,2507_01
IBE_01,ibe2507_02,Business Travel - Domestic - Would Enjoy,IBE2507_02,2507_02
IBE_01,ibe2524_01,Vacation Travel - Cruise - Have Taken,IBE2524_01,2524_01
IBE_01,ibe2524_02,Vacation Travel - Cruise - Would Enjoy,IBE2524_02,2524_02
IBE_01,ibe2526,Inferred Household Rank,IBE2526,2526
IBE_01,ibe2527,Vacation Travel - Leisure,IBE2527,2527
IBE_01,ibe2529,Vacation Travel - RV,IBE2529,2529
IBE_01,ibe2532_01,Vacation Travel - United States - Have Taken,IBE2532_01,2532_01
IBE_01,ibe2532_02,Vacation Travel - United States - Would Enjoy,IBE2532_02,2532_02
IBE_01,ibe2776,Green Living,IBE2776,2776
IBE_01,ibe2800,Investors - Stocks Bonds - Plus,IBE2800,2800
IBE_01,ibe2807,Business Owner - Person,IBE2807,2807
IBE_01,ibe2810,Entering Adulthood - Person,IBE2810,2810
IBE_01,ibe2834,Affordability,IBE2834,2834
IBE_01,ibe2901_01,Economic Assessment - ITA Index - Zip+4 Aggregate,IBE2901_01,2901_01
IBE_01,ibe2901_02,Economic Assessment - ITA Index - Zip+4 Aggregate - Precision Level,IBE2901_02,2901_02
IBE_01,ibe2902_01,Economic Assessment - ITA Score - Zip+4 Aggregate,IBE2902_01,2902_01
IBE_01,ibe2902_02,Economic Assessment - ITA Score - Zip+4 Aggregate - Precision Level,IBE2902_02,2902_02
IBE_01,ibe2903_01,Economic Assessment - Revolving Bank Card Balance Index - Zip+4 Aggregate,IBE2903_01,2903_01
IBE_01,ibe2903_02,Economic Assessment - Revolving Bank Card Balance Index - Zip+4 Aggregate - Precision Level,IBE2903_02,2903_02
IBE_01,ibe2904_01,Economic Assessment - Revolving Bank Card Balance Range - Zip+4 Aggregate,IBE2904_01,2904_01
IBE_01,ibe2904_02,Economic Assessment - Revolving Bank Card Balance Range - Zip+4 Aggregate - Precision Level,IBE2904_02,2904_02
IBE_01,ibe2905_01,Economic Assessment - Bank Card Utilization Index - Zip+4 Aggregate,IBE2905_01,2905_01
