OMC_FLYWHEEL_TABLE,OMC_FLYWHEEL_COLUMN,FUNCTION_DESCRIPTION
IBE_01,customer_user_id,Customer User ID
IBE_01,ibe1802,Family Ties - Adult with Senior Parent - Person
IBE_01,ibe1900,College Year Grade Level
IBE_01,ibe1901,Potential College Student
IBE_01,ibe1902,High School Graduation Year
IBE_01,ibe1903,College Student Major
IBE_01,ibe1904,Student Commuter Flag
IBE_01,ibe1905,College Graduation Year - Undergraduate
IBE_01,ibe1906,College Graduation Year - Graduate
IBE_01,ibe1907,Recent Graduate
IBE_01,ibe2005,Women's Plus Sizes
IBE_01,ibe2022,Category - Apparel - Women's
IBE_01,ibe2024,Super Category - Arts and Antiques
